x1,x2,x3,x4,x5,x6,x7,x8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8348055102328661,0.6213316675753542,0.5500971664050645,0.5144653806256188,0.4930822931107508,0.4788241236979492,0.46863936344965407,0.4610008017288489
0.40382554873874066,0.33869296968513435,0.32067991213328756,0.31287469916050475,0.308799755720563,0.3064133647417174,0.30490257850585273,0.3038900207608424
0.7940908608764957,0.5486539317806808,0.4588291932632462,0.4120223216021986,0.383081399761472,0.3632007934717543,0.348998380792429,0.338276665480622
0.36081529763157066,0.28768166840788956,0.26774147443482754,0.25949301934427654,0.25561387944206587,0.253689439971468,0.2526654886498195,0.2521174694028822
0.6541127688230879,0.6130642376942597,0.5278399546007053,0.47623100981287175,0.44121141364279015,0.41579307272976257,0.39654186609022263,0.38150055228404345
0.44290045732650074,0.3248025426569771,0.29358404246004854,0.2806022460952371,0.27399701441034546,0.2702653990392356,0.2681589358047832,0.2669775039415102
0.5897237747768367,0.5722131736507069,0.5976043961202216,0.5798618912633068,0.549316951956254,0.5231334740065229,0.5014761633113783,0.4833626119880613
0.541258279102089,0.40211549748538156,0.349672483138475,0.32726135712710064,0.3168225111733338,0.31185923309266694,0.30944923624126297,0.3082661065866668
0.609628371013824,0.5257658660271741,0.5493879540304194,0.5803228046383256,0.6099886347413085,0.6303038793172773,0.6331867403465928,0.6219296034696998
